ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T041081	6	02-H037	2	2002	4	MO	SCR	2002-04-03	7	19449	3954	279	59	0.2	0.07	0.01	1	680	28.9	2	0.585365853658537	13	CentralValleysp	0.56493311	CentralValleyfa	0.43506679	DeschutesRfa	1e-07	CentralValleysp--Deer_Cr_sp	82	-28.054126	0.717724	0.7539	6	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T041109	5	02-K006	2	2002	3	MO	MOR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	807	34.1	2	0.173913043478261	49	CentralValleywi	0.99999516	NCaliforniaSOregonCoast	3.03e-06	MidOregonCoast	1.16e-06	CentralValleywi--Sacramento_H	46	-15.475872	-0.199147	0.3898	5	3	March	NA	NA	NA	NA	NA	NA	NA	NA
T041118	6	02-K021	2	2002	4	MO	AVI	2002-04-04	7	19449	3954	279	59	0.2	0.07	0.01	1	722	30.6	2	0.227272727272727	29	CentralValleyfa	0.99983547	CentralValleysp	0.00016449	CentralValleywi	4e-08	CentralValleyfa--Battle_Cr	66	-23.915059	-0.223425	0.3872	6	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T041220	9	02-L051	2	2002	4	BB	BOD	2002-04-24	8	4010	1209	55	90	0.3	0.05	0.07	1	680	28.9	2	0.430555555555556	23	CentralValleyfa	0.9980672	CentralValleysp	0.00142543	MidOregonCoast	0.0003178	CentralValleyfa--Mokelumne_R_fa	72	-30.633021	-2.341777	0.019	9	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T041224	9	02-L055	2	2002	4	BB	BOD	2002-04-27	8	4010	1209	55	90	0.3	0.05	0.07	1	702	29.8	1	0.310810810810811	21	RogueR	0.63922229	MidOregonCoast	0.34948265	NCaliforniaSOregonCoast	0.01085095	RogueR--Cole_Rivers_H	74	-27.82357	-0.919616	0.1794	9	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T041239	14	02-L133	2	2002	5	BB	BOD	2002-05-31	10	7988	1796	135	62	0.22	0.08	0.03	1	747	31.7	1	0.554054054054054	21	CentralValleyfa	0.99976931	CentralValleysp	0.00023069	CentralValleywi	0	CentralValleyfa--Battle_Cr	74	-23.519191	1.5585	0.9521	14	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T041262	19	02-L220	2	2002	7	BB	BOD	2002-07-02	13	17058	3989	256	64	0.23	0.06	0.02	1	705	29.9	2	0.421875	31	CentralValleyfa	0.99341726	CentralValleysp	0.00658215	UColumbiaRsufa	2.4e-07	CentralValleyfa--Butte_Cr_fa	64	-24.558884	-0.946129	0.17	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T041267	19	02-L234	2	2002	7	BB	BOD	2002-07-02	13	17058	3989	256	64	0.23	0.06	0.02	1	657	28	2	0.585714285714286	25	CentralValleyfa	0.99549021	CentralValleysp	0.00450293	DeschutesRfa	4.7e-06	CentralValleyfa--Butte_Cr_fa	70	-23.692881	0.478893	0.6739	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T041270	19	02-L248	2	2002	7	BB	BOD	2002-07-05	13	17058	3989	256	64	0.23	0.06	0.02	1	858	36.2	1	0.542857142857143	25	CentralValleyfa	0.99993951	CentralValleysp	6.047e-05	EVancouverIs	1e-08	CentralValleyfa--Butte_Cr_fa	70	-23.097357	0.670026	0.7349	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T041312	10	02-M040	2	2002	5	SF	SNF	2002-05-04	9	5201	1796	130	48	0.35	0.07	0.03	1	764	32.4	1	0.4	40	CentralValleyfa	0.99397915	CentralValleysp	0.00602046	CaliforniaCoast	3e-07	CentralValleyfa--Feather_H_fa	55	-18.11336	1.050389	0.857	10	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T041402	14	02-N1003	2	2002	6	MO	SBA	2002-06-01	11	1896	482	31	75	0.25	0.06	0.16	1	773	32.7	2	0.378378378378378	21	CentralValleyfa	0.93193188	CentralValleysp	0.06806715	DeschutesRfa	8e-07	CentralValleyfa--Battle_Cr	74	-29.252457	-1.176871	0.1239	14	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T041431	11	02-N177	2	2002	5	MO	VEN	2002-05-11	9	2382	475	28	62	0.2	0.06	0.13	1	784	33.2	2	0.238805970149254	28	CentralValleyfa	0.99974753	CentralValleysp	0.00025239	DeschutesRfa	5e-08	CentralValleyfa--Mill_Cr_fa	67	-23.288319	0.53499	0.6903	11	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T041433	11	02-N186	2	2002	5	MO	OXN	2002-05-09	9	2382	475	28	62	0.2	0.06	0.13	1	817	34.5	2	0.58974358974359	17	CentralValleyfa	0.99934009	CentralValleysp	0.0006599	LColumbiaRsp	1e-08	CentralValleyfa--Mill_Cr_fa	78	-25.850389	0.895767	0.8121	11	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T041503	16	02-O122	2	2002	6	MO	MOS	2002-06-12	11	1896	482	31	75	0.25	0.06	0.16	1	764	32.4	2	0.109090909090909	40	CentralValleyfa	0.70282244	DeschutesRfa	0.23061634	CentralValleysp	0.03882765	CentralValleyfa--Feather_H_fa	55	-22.582901	-1.567623	0.0662	16	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T041603	27	02-O250	2	2002	8	MO	MOS	2002-08-25	16	168	40	4	22	0.24	0.1	0.55	1	620	26.5	2	0.417910447761194	28	CentralValleyfa	0.99347851	CentralValleysp	0.00557978	DeschutesRfa	0.00094041	CentralValleyfa--Battle_Cr	67	-24.918289	-0.317002	0.3543	27	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T041605	27	02-O253	2	2002	8	MO	MOS	2002-08-25	16	168	40	4	22	0.24	0.1	0.55	1	551	23.6	2	0.430555555555556	23	CentralValleyfa	0.97987735	CentralValleysp	0.01937838	DeschutesRfa	0.00057057	CentralValleyfa--Battle_Cr	72	-28.439168	-1.430729	0.0855	27	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T041669	20	02-P140	2	2002	7	MO	SCR	2002-07-07	13	2441	704	35	64	0.29	0.05	0.09	1	753	31.9	1	0.380281690140845	24	CentralValleyfa	0.99971863	CentralValleysp	0.00028136	DeschutesRfa	1e-08	CentralValleyfa--Battle_Cr	71	-26.234182	-0.233214	0.3904	20	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T041685	24	02-P173	2	2002	8	MO	SCR	2002-08-06	15	443	121	11	30	0.27	0.09	0.25	1	617	26.3	2	0.274509803921569	44	CentralValleyfa	0.96381306	CentralValleysp	0.03618466	LColumbiaRfa	1.68e-06	CentralValleyfa--Battle_Cr	51	-20.348681	-1.482942	0.0766	24	8	August	NA	NA	NA	NA	NA	NA	NA	NA
